Category,Message
ham,"Hey, how are you doing today?"
ham,"Can we meet tomorrow for lunch?"
ham,"Please send me the report by EOD"
ham,"The meeting has been rescheduled to 3 PM"
ham,"Thanks for your help with the project"
spam,"Win a free iPhone! Click here now!"
spam,"You've won $1000! Claim your prize"
spam,"URGENT: Your account needs verification"
spam,"Special offer: 50% off all products"
spam,"Your package delivery is pending"
ham,"Let's catch up this weekend"
ham,"Did you see the latest email?"
ham,"The presentation is ready for review"
ham,"Can you help me with the code?"
ham,"Thanks for the quick response"
spam,"CONGRATULATIONS! You've been selected"
spam,"Your account will be suspended"
spam,"Click here to claim your reward"
spam,"Special discount just for you"
spam,"Your subscription is expiring" 
